PSDate,C7F7_Elution_BatchNbr,CuIMAC_Wash_BatchNbr,DrugSubstance_Calcium,DrugSubstance_Copper,DrugSubstance_DNA,DrugSubstance_Glycine,DrugSubstance_HCP,DrugSubstance_Histidine,DrugSubstance_MicrobialLoad,DrugSubstance_MouseIgG,DrugSubstance_Oligo_AsialylN_glycans,DrugSubstance_Oligo_di_sialylN_glycans,DrugSubstance_OligomapSialyationRatio,DrugSubstance_Oligo_mono_sialylN_glycans,DrugSubstance_Oligo_tetra_sialylN_glycans,DrugSubstance_Oligo_tri_sialylN_glycans,DrugSubstance_Osmolality,DrugSubstance_OverallRecovery,DrugSubstance_pH,DrugSubstance_Polysorbate80,DrugSubstance_Potency,DrugSubstance_Purity,DrugSubstance_SECFluorescenceReg1,DrugSubstance_SECFluorescenceReg2,DrugSubstance_SECFluorescenceReg3,DrugSubstance_SECFluorescenceReg4,DrugSubstance_Sodium,DrugSubstance_SpecificActivity,DrugSubstance_Sucrose,DrugSubstance_ThrombinPepPeak2Area_,DrugSubstance_ThrombinPeptideMap_Peak2Area,DrugSubstance_TotalProtein,Load_LoadDensity,ParameterSetDate,Purif_BatchNbr
1/17/2013 0:00,270L054,270L11H,2.9,0.1,1,21.5,0.45,20,0,2,13.7,32.7,,11.9,11,30.7,397,79.45438997,6.8,83,1910,93.8,1,79.9,16.6,3.4,,5825,1,44.6,0.855,,2167.769886,1/17/2013 0:00,270L275
2/8/2013 0:00,270L3W6,270L43R,2.7,0.1,1,22.5,0.42,20.4,0,2,14.6,29.2,,13,11.5,31.7,400,74.55901466,6.7,83,1590,95,1,72.6,23.7,3.7,,5542,1.1,46,0.842,,2045.142045,2/8/2013 0:00,270L44J
4/13/2013 0:00,270L6NT,270L8HW,2.8,0.1,1,22.8,0.458,20.7,0,2,13.4,28.2,,9,13.8,35.7,398,0,6.7,75,1640,94.2,1,73.8,21.7,4.4,,6001,1.1,46.6,0.859,,2211.71875,4/13/2013 0:00,270LCX3
5/2/2013 0:00,270L8KH,270L8K2,2.7,0.1,1,21.7,0.473,19.5,0,2,13.9,27.9,,9.6,13.8,34.7,395,0,6.7,77,1780,95.1,1,70.6,25.4,3.9,,6454,1.2,47.3,0.852,,2028.196023,5/2/2013 0:00,270LJ81
5/9/2013 0:00,270L8KH,270L8K2,2.8,0.1,1,21.2,0.587,19.8,0,2,15.4,30.3,,16.9,9.7,27.7,386,0,6.8,76,1920,95.6,1,74.2,21.5,4.1,,6312,1.2,46.2,0.842,,2214.076705,5/9/2013 0:00,270LK27
7/4/2013 0:00,270LJ7H,270LCT0,3,0.1,1,22,0.382,20.1,0,2,13.4,32.2,,9.9,12.2,32.4,402,75.7102517,6.7,84,1400,92.7,1,77.4,17.7,4.8,,5804,1.14,45.9,0.857,241.2,1640.625,7/4/2013 0:00,270LP3L
7/17/2013 0:00,270LJ7H,270LJCT,2.9,0.1,1,20.9,0.524,19.2,0,2,13.3,30.7,,9.9,11.8,34.3,397,74.5059132,6.7,71,1460,93.4,1,73.5,21.1,5,,6237,1.12,45.8,0.861,,1885.653409,7/17/2013 0:00,270LP3H
7/24/2013 0:00,270LT3J,270LJCT,3,0.2,1,21.8,0.532,19.8,0,2,13.6,30.8,,12,10.1,33.5,395,75.64415488,6.8,77,1290,93.6,1,75.3,20.1,4.3,,5866,1.08,45.4,0.862,219.9,1791.761364,7/24/2013 0:00,270LP3J
8/2/2013 0:00,270LT3J,270LWKG,3.1,0.1,1,20.7,0.495,18.9,0,2,13.9,30.2,,12.5,10.1,33.4,399,70.50034196,6.8,70,1660,93.4,1,76.4,17.4,5.9,,6380,1.13,45.7,0.873,260.2,1968.068182,8/2/2013 0:00,270LP3C
8/14/2013 0:00,270N22K,270LWKG,2.8,0.1,1,21.7,0.531,19.9,0,2,13.9,30.5,,13.1,10.1,32.5,399,90.20308924,6.7,81,1700,95.2,1,73.2,22.1,4.6,,6811,1.16,46.6,0.836,249.6,1855.326705,8/14/2013 0:00,270LP38
